c:\users\markus\desktop\winos\promotion\messzeiten\2015_sept_beamtime\test\i09-58244_n1shbn-xsw\singleslices\i09-58244_n1shbn-xsw_slice00_296880.vms	

Data Set	N1s	STDEV_N1s
3.900000e+002	4.175318e-001	7.284821e-001	
3.910000e+002	2.972446e-001	8.576478e-001	
3.920000e+002	2.980946e-001	8.386001e-001	
3.930000e+002	2.720832e-001	7.432085e-001	
3.940000e+002	4.352290e-001	7.341130e-001	
3.950000e+002	4.573745e-001	7.119977e-001	
3.960000e+002	4.045003e-001	7.617520e-001	
3.970000e+002	1.582413e+000	1.121057e+000	
3.980000e+002	1.729187e+000	1.071087e+000	
3.990000e+002	1.867301e+000	1.002385e+000	
4.000000e+002	1.496909e+000	1.297624e+000	
4.010000e+002	1.675656e+000	1.107356e+000	
4.020000e+002	1.888362e+000	1.112998e+000	
4.030000e+002	2.092708e+000	1.029337e+000	
4.040000e+002	1.994998e+000	1.113309e+000	
4.050000e+002	2.089622e+000	1.126112e+000	
4.060000e+002	2.250447e+000	1.102077e+000	
4.070000e+002	2.569624e+000	1.051086e+000	
4.080000e+002	2.571705e+000	1.081691e+000	
4.090000e+002	3.176532e+000	1.120844e+000	
4.100000e+002	3.104770e+000	1.317759e+000	
4.110000e+002	3.451991e+000	1.180556e+000	
4.120000e+002	3.170701e+000	1.283815e+000	
4.130000e+002	2.641639e+000	1.343593e+000	
4.140000e+002	2.030247e+000	1.448149e+000	
4.150000e+002	1.802166e+000	1.317883e+000	
4.160000e+002	1.171960e+000	1.519283e+000	
4.170000e+002	8.996217e-001	1.534207e+000	
4.180000e+002	7.420414e-001	1.543322e+000	
4.190000e+002	9.517591e-001	1.363194e+000	
4.200000e+002	1.063636e+000	1.268366e+000	
4.210000e+002	9.712309e-001	1.323609e+000	
4.220000e+002	8.633469e-001	1.375772e+000	
4.230000e+002	1.207691e+000	1.199733e+000	
4.240000e+002	1.221149e+000	1.245193e+000	
4.250000e+002	9.722818e-001	1.211021e+000	
4.260000e+002	1.360429e+000	1.183491e+000	
4.270000e+002	1.124516e+000	1.313977e+000	
4.280000e+002	1.209043e+000	1.189134e+000	
4.290000e+002	1.363037e+000	1.178213e+000	
4.300000e+002	1.393732e+000	1.121577e+000	
4.310000e+002	1.703062e+000	9.580685e-001	
4.320000e+002	1.421065e+000	1.131505e+000	
4.330000e+002	3.797162e+000	1.578286e+000	
4.340000e+002	3.866506e+000	1.560415e+000	
4.350000e+002	4.028875e+000	1.528154e+000	
4.360000e+002	4.183918e+000	1.626742e+000	
4.370000e+002	4.089767e+000	1.531587e+000	
4.380000e+002	4.463850e+000	1.572843e+000	
4.390000e+002	4.990886e+000	1.465432e+000	
4.400000e+002	4.709557e+000	1.570206e+000	
4.410000e+002	4.843230e+000	1.639991e+000	
4.420000e+002	5.323633e+000	1.521596e+000	
4.430000e+002	5.777694e+000	1.458887e+000	
4.440000e+002	6.548270e+000	1.502414e+000	
4.450000e+002	7.631346e+000	1.595075e+000	
4.460000e+002	8.173387e+000	1.706093e+000	
4.470000e+002	8.755505e+000	1.695794e+000	
4.480000e+002	7.255832e+000	1.841316e+000	
4.490000e+002	6.490739e+000	1.769163e+000	
4.500000e+002	4.900237e+000	1.820352e+000	
4.510000e+002	3.657885e+000	1.958046e+000	
4.520000e+002	2.728715e+000	1.844654e+000	
4.530000e+002	1.885992e+000	2.049554e+000	
4.540000e+002	2.161486e+000	2.005434e+000	
4.550000e+002	2.171959e+000	1.803344e+000	
4.560000e+002	1.839380e+000	1.740386e+000	
4.570000e+002	2.500577e+000	1.696494e+000	
4.580000e+002	2.756203e+000	1.674653e+000	
4.590000e+002	2.518760e+000	1.629276e+000	
4.600000e+002	2.516332e+000	1.803024e+000	
4.610000e+002	2.678665e+000	1.630373e+000	
4.620000e+002	2.588054e+000	1.624139e+000	
4.630000e+002	2.677199e+000	1.646382e+000	
4.640000e+002	3.141800e+000	1.557973e+000	
4.650000e+002	2.864385e+000	1.718930e+000	
4.660000e+002	3.505053e+000	1.447623e+000	
4.670000e+002	3.346373e+000	1.568901e+000	
4.680000e+002	3.371011e+000	1.654846e+000	
4.690000e+002	5.814809e+000	1.891195e+000	
4.700000e+002	5.708202e+000	1.753610e+000	
4.710000e+002	5.760908e+000	1.743679e+000	
4.720000e+002	6.011247e+000	1.690218e+000	
4.730000e+002	6.406034e+000	1.751734e+000	
4.740000e+002	6.962673e+000	1.878612e+000	
4.750000e+002	7.335569e+000	1.729415e+000	
4.760000e+002	7.453904e+000	1.707537e+000	
4.770000e+002	8.052373e+000	1.736794e+000	
4.780000e+002	8.297709e+000	1.850446e+000	
4.790000e+002	8.837867e+000	1.792722e+000	
4.800000e+002	9.894285e+000	1.865817e+000	
4.810000e+002	1.155133e+001	1.746308e+000	
4.820000e+002	1.306406e+001	2.194816e+000	
4.830000e+002	1.356985e+001	2.043290e+000	
4.840000e+002	1.195934e+001	2.158780e+000	
4.850000e+002	1.000154e+001	2.042742e+000	
4.860000e+002	7.565276e+000	2.190693e+000	
4.870000e+002	5.488952e+000	2.261903e+000	
4.880000e+002	4.284018e+000	2.275393e+000	
4.890000e+002	3.598754e+000	2.120696e+000	
4.900000e+002	2.952901e+000	2.146506e+000	
4.910000e+002	2.728503e+000	2.052625e+000	
4.920000e+002	3.118033e+000	2.083011e+000	
4.930000e+002	2.899859e+000	2.152048e+000	
4.940000e+002	3.494878e+000	2.114899e+000	
4.950000e+002	3.656795e+000	2.068673e+000	
4.960000e+002	3.670536e+000	2.021587e+000	
4.970000e+002	4.020138e+000	2.020332e+000	
4.980000e+002	3.944828e+000	2.015892e+000	
4.990000e+002	3.945011e+000	2.007052e+000	
5.000000e+002	4.762567e+000	1.700884e+000	
5.010000e+002	4.370318e+000	1.949954e+000	
5.020000e+002	4.664435e+000	1.790691e+000	
5.030000e+002	4.883732e+000	1.883570e+000	
5.040000e+002	4.847226e+000	1.780438e+000	
5.050000e+002	7.950733e+000	2.165596e+000	
5.060000e+002	7.756955e+000	1.885428e+000	
5.070000e+002	7.857533e+000	2.290869e+000	
5.080000e+002	7.925596e+000	2.268119e+000	
5.090000e+002	8.808951e+000	1.868423e+000	
5.100000e+002	9.208535e+000	2.238626e+000	
5.110000e+002	9.651936e+000	1.977042e+000	
5.120000e+002	1.041711e+001	1.999869e+000	
5.130000e+002	1.061308e+001	1.861527e+000	
5.140000e+002	1.124150e+001	2.088462e+000	
5.150000e+002	1.188463e+001	2.136046e+000	
5.160000e+002	1.416256e+001	2.034861e+000	
5.170000e+002	1.654989e+001	2.036542e+000	
5.180000e+002	1.879186e+001	2.261447e+000	
5.190000e+002	1.958050e+001	2.320383e+000	
5.200000e+002	1.704365e+001	2.512195e+000	
5.210000e+002	1.345657e+001	2.614360e+000	
5.220000e+002	1.017309e+001	2.527991e+000	
5.230000e+002	7.518958e+000	2.759814e+000	
5.240000e+002	6.352823e+000	2.804519e+000	
5.250000e+002	4.457682e+000	2.804394e+000	
5.260000e+002	3.887106e+000	2.526231e+000	
5.270000e+002	3.568927e+000	2.603547e+000	
5.280000e+002	3.487455e+000	2.705111e+000	
5.290000e+002	4.684152e+000	2.355181e+000	
5.300000e+002	4.266576e+000	2.285985e+000	
5.310000e+002	4.812432e+000	2.285786e+000	
5.320000e+002	5.061363e+000	2.303932e+000	
5.330000e+002	5.358237e+000	2.239562e+000	
5.340000e+002	4.957450e+000	2.276093e+000	
5.350000e+002	5.176603e+000	2.273307e+000	
5.360000e+002	5.912582e+000	2.083626e+000	
5.370000e+002	5.995651e+000	2.072628e+000	
